index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num,doc_token_index
0,0,Interea,adverb,Interea,Intere,advmod,5,\N,"{F: [neg], N: [pos], V: [pos]}","['in', 'te', 're', 'a']",[ɪn̪t̪ɛrɛ̣ja],5,\N,1,44328
1,0,medium,adjective,medius,medi,amod,2,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['me', 'di', 'um']",[mɛd̪ɪ̣jũː],5,\N,1,44329
2,0,Aeneas,noun,aenea,Aene,nsubj,5,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ae', 'ne', 'as']",[ajn̪ɛ̣jas],5,\N,1,44330
3,0,iam,adverb,iam,iam,advmod:emph,5,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['iam'],[jãː],5,\N,1,44331
4,0,classe,noun,classus,class,obl,5,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['clas', 'se']",[klassɛ],5,\N,1,44332
5,0,tenebat,verb,teneo,teneba,root,-1,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['te', 'ne', 'bat']",[t̪ɛn̪ɛbat̪],5,\N,1,44333
6,0,certus,adjective,certus,cert,amod,7,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['cer', 'tus']",[kɛrt̪ʊs],5,\N,2,44334
7,0,iter,noun,iter,ite,obj,5,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['i', 'ter']",[ɪt̪ɛr],5,\N,2,44335
8,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,5,\N,2,44336
9,0,fluctusque,noun,fluctusque,fluct,obj,12,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fluc', 'tus', 'que']",[flʊkt̪ʊskʷɛ],5,\N,2,44337
10,0,atros,noun,atrus,atr,obj,12,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['a', 'tros']",[at̪rɔs],5,\N,2,44338
11,0,Aquilone,noun,aquilo,Aquilon,obl,12,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['a', 'qui', 'lo', 'ne']",[akʷɪlɔn̪ɛ],5,\N,2,44339
12,0,secabat,verb,seceo,secaba,conj,5,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['se', 'ca', 'bat']",[sɛkabat̪],5,\N,2,44340
13,0,",",punctuation,",",",",punct,15,\N,\N,"[',']",\N,5,\N,2,44341
14,0,moenia,noun,moenia,moen,obj,15,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['moe', 'ni', 'a']",[mojn̪ɪ̣ja],5,\N,3,44342
15,0,respiciens,verb,respicio,respicie,advcl,12,"{Aspect: [imperfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['res', 'pi', 'ci', 'ens']",[rɛspɪkɪ̣jeːn̪s],5,\N,3,44343
16,0,",",punctuation,",",",",punct,21,\N,\N,"[',']",\N,5,\N,3,44344
17,0,quae,pronoun,qui,quae,nsubj,21,"{Case: [nominative], Gender: [neuter], InflClass: [lat_pron], Number: [plural], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quae'],[kʷaj],5,\N,3,44345
18,0,iam,adverb,iam,iam,advmod:emph,21,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['iam'],[jãː],5,\N,3,44346
19,0,infelicis,adjective,infelicus,infelic,amod,20,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['in', 'fe', 'li', 'cis']",[iːn̪fɛlɪkɪs],5,\N,3,44347
20,0,Elissae,verb,elido,Eliss,xcomp,21,"{Aspect: [perfective], Case: [nominative], Gender: [feminine], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['e', 'lis', 'sae']",[ɛlɪssaj],5,\N,3,44348
21,0,conlucent,verb,conluco,conluce,acl:relcl,15,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [subjunctive], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['con', 'lu', 'cent']",[kɔn̪lʊkɛn̪t̪],5,\N,4,44349
22,0,flammis,noun,flamma,flamm,nsubj,21,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['flam', 'mis']",[flammɪs],5,\N,4,44350
23,0,.,punctuation,.,.,punct,5,\N,\N,['.'],\N,5,\N,4,44351
0,1,Quae,pronoun,qui,Qu,nsubj,2,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quae'],[kʷaj],5,\N,4,44352
1,1,tantum,adverb,tantum,tant,advmod,2,"{Numeral: [cardinal], PronominalType: [demonstrative]}","{F: [neg], N: [pos], V: [pos]}","['tan', 'tum']",[t̪an̪t̪ũː],5,\N,4,44353
