index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num,doc_token_index
0,0,At,verb,at,A,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['at'],[at̪],4,\N,1,38747
1,0,regina,noun,regina,regin,nsubj,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['re', 'gi', 'na']",[rɛgɪn̪a],4,\N,1,38748
2,0,gravi,adjective,gravus,grav,obl,3,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['gra', 'vi']",[grawɪ],4,\N,1,38749
3,0,iamdudum,adjective,iamdus,iamdud,amod,1,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['iam', 'du', 'dum']",[jamd̪ʊd̪ũː],4,\N,1,38750
4,0,saucia,adjective,saucius,sauc,amod,5,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['sau', 'ci', 'a']",[sawkɪ̣ja],4,\N,1,38751
5,0,cura,noun,cura,cur,nsubj,7,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cu', 'ra']",[kʊra],4,\N,1,38752
6,0,volnus,noun,volnus,voln,obj,7,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vol', 'nus']",[wɔɫn̪ʊs],4,\N,2,38753
7,0,alit,verb,aliuo,ali,conj,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['a', 'lit']",[alɪt̪],4,\N,2,38754
8,0,venis,noun,venis,ven,nsubj,7,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ve', 'nis']",[wɛn̪ɪs],4,\N,2,38755
9,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,4,\N,2,38756
10,0,et,coordinating_conjunction,et,et,cc,12,\N,{F: [pos]},['et'],[ɛt̪],4,\N,2,38757
11,0,caeco,noun,caecus,caec,obl,12,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cae', 'co']",[kajkɔ],4,\N,2,38758
12,0,carpitur,verb,carpo,carpi,conj,7,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['car', 'pi', 'tur']",[karpɪt̪ʊr],4,\N,2,38759
13,0,igni,noun,ignis,ign,obl:arg,12,"{Case: [dative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ig', 'ni']",[ɪŋn̪ɪ],4,\N,2,38760
14,0,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,4,\N,2,38761
0,1,Multa,determiner,multus,Mult,nsubj,6,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Numeral: [cardinal], Number: [plural], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['mul', 'ta']",[mʊɫt̪a],4,\N,3,38762
1,1,viri,noun,virus,vir,nmod,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['vi', 'ri']",[wɪrɪ],4,\N,3,38763
2,1,virtus,noun,virtus,virt,conj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vir', 'tus']",[wɪrt̪ʊs],4,\N,3,38764
3,1,animo,noun,animus,anim,nmod,2,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['a', 'ni', 'mo']",[an̪ɪmɔ],4,\N,3,38765
4,1,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,4,\N,3,38766
5,1,multusque,determiner,multus,mult,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['mul', 'tus', 'que']",[mʊɫt̪ʊskʷɛ],4,\N,3,38767
6,1,recursat,verb,recurso,recursa,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'cur', 'sat']",[rɛkʊrsat̪],4,\N,3,38768
7,1,gentis,noun,gens,gent,nmod,8,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['gen', 'tis']",[gɛn̪t̪ɪs],4,\N,4,38769
8,1,honos,noun,hono,hon,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'nos']",[hɔn̪ɔs],4,\N,4,38770
9,1,:,punctuation,:,:,punct,6,\N,\N,[':'],\N,4,\N,4,38771
0,2,haerent,verb,haero,haere,root,-1,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['hae', 'rent']",[hajrɛn̪t̪],4,\N,4,38772
1,2,infixi,verb,inficio,infix,csubj,0,"{Aspect: [perfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['in', 'fi', 'xi']",[iːn̪fɪksɪ],4,\N,4,38773
2,2,pectore,noun,pector,pector,obl,1,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pec', 'to', 're']",[pɛkt̪ɔrɛ],4,\N,4,38774
3,2,voltus,noun,voltus,volt,obj,1,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_u], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['vol', 'tus']",[wɔɫt̪ʊs],4,\N,4,38775
4,2,verbaque,noun,verbaqum,verb,obj,1,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ver', 'ba', 'que']",[wɛrbakʷɛ],4,\N,5,38776
5,2,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,4,\N,5,38777
6,2,nec,coordinating_conjunction,nec,nec,cc,9,\N,{F: [pos]},['nec'],[n̪ɛk],4,\N,5,38778
7,2,placidam,adjective,placidus,placid,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['pla', 'ci', 'dam']",[plakɪd̪ãː],4,\N,5,38779
8,2,membris,noun,membrum,membr,obl,9,"{Case: [dative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['mem', 'bris']",[mɛmbrɪs],4,\N,5,38780
9,2,dat,verb,do,da,conj,0,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['dat'],[d̪at̪],4,\N,5,38781
10,2,cura,noun,cura,cur,nsubj,9,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cu', 'ra']",[kʊra],4,\N,5,38782
11,2,quietem,noun,quies,quiet,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['quie', 'tem']",[kʷɪ̣jɛt̪ẽː],4,\N,5,38783
12,2,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,4,\N,5,38784
0,3,Postera,noun,Postera,Poster,nsubj,1,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pos', 'te', 'ra']",[pɔst̪ɛra],4,\N,6,38785
1,3,Phoebea,verb,phoebeo,Phoebe,csubj:relcl,2,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['phoe', 'be', 'a']",[pʰojbɛ̣ja],4,\N,6,38786
2,3,lustrabat,verb,lustrabo,lustraba,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['lus', 'tra', 'bat']",[lʊst̪rabat̪],4,\N,6,38787
3,3,lampade,noun,lampa,lampad,obl,2,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['lam', 'pa', 'de']",[lampad̪ɛ],4,\N,6,38788
4,3,terras,noun,terra,terr,obj,2,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ter', 'ras']",[t̪ɛrras],4,\N,6,38789
5,3,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,4,\N,6,38790
