index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num,doc_token_index
0,0,Tu,pronoun,tu,T,nsubj,14,"{Case: [nominative], InflClass: [lat_anom], Number: [singular], Person: [second], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['tu'],[t̪ʊ],7,\N,1,58182
1,0,quoque,adverb,quoque,quoque,advmod,14,\N,"{F: [neg], N: [pos], V: [pos]}","['quo', 'que']",[kʷɔkʷɛ],7,\N,1,58183
2,0,litoribus,noun,litor,litor,obl,14,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['li', 'to', 'ri', 'bus']",[lɪt̪ɔrɪbʊs],7,\N,1,58184
3,0,nostris,determiner,noster,nostr,det,2,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['nos', 'tris']",[n̪ɔst̪rɪs],7,\N,1,58185
4,0,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,7,\N,1,58186
5,0,Aeneia,adjective,aeneius,Aene,amod,6,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'neia']",[ajn̪eja],7,\N,1,58187
6,0,nutrix,noun,nutrix,nutrix,nsubj,14,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['nu', 'trix']",[n̪ʊt̪rɪks],7,\N,1,58188
7,0,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,7,\N,1,58189
8,0,aeternam,adjective,aeternus,aetern,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'ter', 'nam']",[ajt̪ɛrn̪ãː],7,\N,2,58190
9,0,moriens,verb,morior,morie,acl,6,"{Aspect: [imperfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['mo', 'ri', 'ens']",[mɔrɪ̣jeːn̪s],7,\N,2,58191
10,0,famam,noun,fama,fam,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fa', 'mam']",[famãː],7,\N,2,58192
11,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,2,58193
12,0,Caieta,verb,caiio,Caiet,conj,9,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ca', 'ie', 'ta']",[kajjɛt̪a],7,\N,2,58194
13,0,",",punctuation,",",",",punct,14,\N,\N,"[',']",\N,7,\N,2,58195
14,0,dedisti,verb,do,dedist,root,-1,"{Aspect: [perfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [first], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['de', 'dis', 'ti']",[d̪ɛd̪ɪst̪ɪ],7,\N,2,58196
15,0,;,punctuation,;,;,punct,14,\N,\N,[';'],\N,7,\N,2,58197
0,1,et,coordinating_conjunction,et,et,cc,2,\N,{F: [pos]},['et'],[ɛt̪],7,\N,3,58198
1,1,nunc,adverb,nunc,nunc,advmod:tmod,2,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['nunc'],[n̪ʊŋk],7,\N,3,58199
2,1,servat,verb,servo,serva,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ser', 'vat']",[sɛrwat̪],7,\N,3,58200
3,1,honos,noun,hono,hon,nsubj,2,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'nos']",[hɔn̪ɔs],7,\N,3,58201
4,1,sedem,noun,sedes,sed,obj,2,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['se', 'dem']",[sɛd̪ẽː],7,\N,3,58202
5,1,tuus,determiner,tuus,tu,det,4,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['tu', 'us']",[t̪ʊjʊs],7,\N,3,58203
6,1,ossaque,noun,ossaqus,oss,flat,3,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['os', 'sa', 'que']",[ɔssakʷɛ],7,\N,3,58204
7,1,nomen,noun,nomen,nomen,obj,2,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['no', 'men']",[n̪ɔmɛn̪],7,\N,3,58205
8,1,Hesperia,adjective,hesperius,Hesper,amod,7,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['hes', 'pe', 'ri', 'a']",[hɛspɛrɪ̣ja],7,\N,4,58206
9,1,in,adposition,in,in,case,10,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],7,\N,4,58207
10,1,magna,adjective,magnus,magn,obl,2,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['mag', 'na']",[maŋn̪a],7,\N,4,58208
11,1,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,4,58209
12,1,siqua,pronoun,siqui,siqu,ccomp,17,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}","['si', 'qua']",[sɪkʷa],7,\N,4,58210
13,1,est,auxiliary,sum,est,cop,12,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],7,\N,4,58211
14,1,ea,pronoun,is,e,obl,12,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], Person: [third], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['e', 'a']",[ɛ̣ja],7,\N,4,58212
15,1,gloria,noun,gloria,glor,nsubj,12,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['glo', 'ri', 'a']",[glɔrɪ̣ja],7,\N,4,58213
16,1,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,4,58214
17,1,signat,verb,signo,signa,conj,2,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['sig', 'nat']",[sɪŋn̪at̪],7,\N,4,58215
18,1,.,punctuation,.,.,punct,2,\N,\N,['.'],\N,7,\N,4,58216
0,2,At,verb,at,A,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['at'],[at̪],7,\N,5,58217
1,2,pius,noun,pius,p,nsubj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pi', 'us']",[pɪ̣jʊs],7,\N,5,58218
2,2,exsequiis,noun,exsequium,exsequi,obl,0,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ex', 'se', 'quiis']",[ɛkssɛkʷɪ̣jɪs],7,\N,5,58219
3,2,Aeneas,adjective,aeneus,Aene,nsubj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'ne', 'as']",[ajn̪ɛ̣jas],7,\N,5,58220
4,2,rite,adverb,rite,rit,advmod,5,\N,"{F: [neg], N: [pos], V: [pos]}","['ri', 'te']",[rɪt̪ɛ],7,\N,5,58221
5,2,solutis,verb,soluo,solut,advcl:abs,0,"{Aspect: [perfective], Case: [ablative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['so', 'lu', 'tis']",[sɔlʊt̪ɪs],7,\N,5,58222
6,2,",",punctuation,",",",",punct,7,\N,\N,"[',']",\N,7,\N,5,58223
7,2,aggere,noun,agger,agger,nsubj:pass,5,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ag', 'ge', 're']",[aggɛrɛ],7,\N,6,58224
8,2,composito,noun,compositum,composit,nsubj:pass,5,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['com', 'po', 'si', 'to']",[kɔmpɔsɪt̪ɔ],7,\N,6,58225
9,2,tumuli,noun,tumulus,tumul,nmod,8,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tu', 'mu', 'li']",[t̪ʊmʊlɪ],7,\N,6,58226
10,2,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,7,\N,6,58227
11,2,postquam,subordinating_conjunction,postquam,postqu,mark,13,{<class 'NoneType'>: [None]},{F: [pos]},"['pos', 'tquam']",[pɔst̪kʷãː],7,\N,6,58228
12,2,alta,adjective,altus,alt,nsubj,13,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['al', 'ta']",[aɫt̪a],7,\N,6,58229
13,2,quierunt,verb,quiero,quieru,advcl,16,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['quie', 'runt']",[kʷɪ̣jɛrʊn̪t̪],7,\N,6,58230
14,2,aequora,noun,aequus,aequor,obj,13,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ae', 'quo', 'ra']",[ajkʷɔra],7,\N,7,58231
15,2,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,7,\N,7,58232
