rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
4628,3511,TB,12712,nil,60,,3696,yṣuw-ar,*h₁u̯és-u-,"freundlich, günstig",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4691,13,TB,12908,nil,64,,3892,āk,*h₂ōĝ-í-,Eifer,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4771,65,TB,13187,nil,66,,4171,āk(a),*h₂ak̑-ó/áh₂-,Gerste,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4893,158,TB,13570,nil,73,,4554,āre,? *h₂arh₃-o-,Staub,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4912,215,TB,13635,nil,74,,4619,auki,*h₂áu̯g-men-,Wachstum,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5083,2196,TB,14196,nil,86,,5180,eś-lmau,ˣh₃okʷ-ih₁,geblendet,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5083,2196,TB,14201,nil,86,,5185,tärrek,ˣh₃okʷ-ih₁,blind,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5117,1954,TB,14356,nil,87,,5340,miśo,? *h₃miĝʰ-i̯o/ah₂-,Harn,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5290,1557,TB,14828,nil,106,,5812,kul*,*-k̑lu-t-,Glocke,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5339,1668,TB,14997,nil,108,,5981,kuśiñ,*k̑u̯it-i-,von Kučā,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5339,1668,TB,14998,nil,108,,5982,kuśiññe ,*k̑u̯it-i-,zu Kučā gehörig,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5339,1668,TB,14999,nil,108,,5983,kᵤcaññe ,*k̑u̯it-i-,zu Kučā gehörig,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
5493,1938,TB,15499,nil,123,,6483,māka,? *m̥ĝ-h₂-,viel; sehr (Adv.),,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6166,2854,TB,17681,nil,174,,8665,śiñcatstse* ,*snigʷʰ-én-,verschneit,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6252,2954,TB,17934,nil,182,,8918,presto*,*-stah₂-,Zeit,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6264,2954,TB,18008,nil,182,,8992,lesto,? *-sth₂-áh₂-,"Nest, Unterschlupf",,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6425,3101,TB,18543,nil,191,,9527,ṣer,*su̯ésor-,Schwester,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6431,3042,TB,18572,nil,192,,9556,suwo,*suH-,Schwein,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6448,3160,TB,18687,nil,194,,9671,tant*,*(-)tn̥-ti-,Macht(bereich),,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6578,208,TB,18987,nil,201,,9971,war,*uh₁-r-,Wasser,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6594,3356,TB,19027,nil,202,,10011,ime,*u̯id-men-,Bewußtsein,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
6603,3356,TB,19052,nil,202,,10036,uwe,*u̯id-u̯-o-,gelehrt,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B,conflict
4579,1770,TB,12561,nil,55,,3545,laṅk͡ᵤtse,*h₁ln̥gʷʰ-ú-,leicht,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B ,conflict
5722,2254,TB,16319,nil,142,,7303,patsa,*(-)ped-ah₂-,Boden,,1,,,,"TD, AMB",AMB,07_23_2025_1516,,,,? toch. B ,conflict
796,,,36512,pok,,,17286,ratь,,Streit,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,497,abg. russ.,conflict
804,,,36686,pok,,,17460,eru,,Furche,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,498,abret. mbret.,conflict
2803,,,73664,pok,,,54454,liou,,Farbe,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1780,abret. nbret.,conflict
2140,,,61251,pok,,,42041,Nōdonti,,GN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1381,abrit.-lat.,conflict
2140,,,61252,pok,,,42042,Nōdenti,,GN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1381,abrit.-lat.,conflict
2732,,,71887,pok,,,52677,Penno-crucium,,ON,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1736,abrit.-lat.,conflict
1228,,,46059,pok,,,26833,iot,,Brei,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,783,acorn. abret.,conflict
1720,,,54053,pok,,,34843,lagen,,"See, Teich",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1116,acorn. bret.,conflict
351,,,26288,pok,,,7066,bern,,Haufe,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,238,acorn. bret. ,conflict
1107,,,43796,pok,,,24570,grow,,Sand,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,698,acorn. mcorn. ,conflict
131,,,21748,pok,,,2526,a,,"ex, ab, de",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101,acorn. mcorn. bret.,conflict
757,,,35568,pok,,,16342,en,,in,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,476,acymr. abret. ,conflict
757,,,35569,pok,,,16343,in ,,in,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,476,acymr. abret. ,conflict
1251,,,46261,pok,,,27035,Jud-,,Kampf,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,787,acymr. acorn. abret. ,conflict
571,,,30992,pok,,,11766,dou,,zwei,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,368,acymr. bret.,conflict
60,,,20353,pok,,,1131,ocet,,Egge,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,47,acymr. corn.,conflict
2311,,,64275,pok,,,45065,rit,,Furt,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1485,acymr. corn. ,conflict
2639,,,69924,pok,,,50714,hen,,senex,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1690,acymr. corn. bret.,conflict
1431,,,49155,pok,,,29929,cein,,schön,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,906,acymr. mcymr. ,conflict
131,,,21747,pok,,,2525,o,,"ex, ab, de",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,101,acymr. ncymr.,conflict
442,,,27859,pok,,,8633,bronn,,Brust,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,302,acymr. ncymr.,conflict
3464,,,85927,pok,,,66712,warm,,warm,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2173,afr. as. ahd. ,conflict
1730,,,54205,pok,,,34995,lippa,,Lippe,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1124,afries. ags.,conflict
2529,,,67818,pok,,,48608,rūm,,"geräumig; Raum, Zeitraum, Gelegenheit (m.)",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1631,afries. ags.,conflict
3397,,,84794,pok,,,65579,wine,,Freund,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2137,afries. ags.,conflict
614,,,32119,pok,,,12893,dimm,,dunkel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,390,afries. ags. ,conflict
1541,,,51446,pok,,,32236,hlot,,Los,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,979,afries. ags. ,conflict
3355,,,83711,pok,,,64496,wāg,,Wand,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2115,afries. ags. ,conflict
840,,,37407,pok,,,18181,wan,,"mangelnd, fehlend",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,527,afries. ags. as. ahd.,conflict
3220,,,81264,pok,,,62049,thorp,,Dorf,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2025,afries. as.,conflict
2784,,,73417,pok,,,54207,slēc,,Schlag,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1772,afries. as. ,conflict
1000,,,41397,pok,,,22171,gān,,gehen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,623,afries. as. ags.,conflict
1504,,,51035,pok,,,31825,scūr,,Schauer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,957,afries. as. ags.,conflict
1504,,,51036,pok,,,31826,scéor,,Schauer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,957,afries. as. ags.,conflict
1204,,,75179,pok,,,55969,sper,,Speer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1838,afries. as. ahd. ,conflict
1050,,,42790,pok,,,23564,grīs,,grau,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,656,afries. as. ahd. mhd.,conflict
1636,,,52664,pok,,,33454,hwēti,,Weizen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1064,afries. asächs.,conflict
520,,,32610,pok,,,13384,derve,,"derb, geradezu",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,404,afries. mnd.,conflict
942,,,40240,pok,,,21014,kopp,,Becher,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,580,afries. mnd.,conflict
1098,,,43618,pok,,,24392,gristel,,Knorpel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,691,afries. mnd.,conflict
239,,,23918,pok,,,4696,pot,,"Pott, Topf",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,168,afries. mnd. ,conflict
2470,,,66919,pok,,,47709,ridder,,Reiter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1600,afries. mnd. ,conflict
1164,,,45047,pok,,,25821,cú,,Kuh,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,733,ags. afries.,conflict
1719,,,53763,pok,,,34553,hū,,wie,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1098,ags. afries.,conflict
3367,,,83973,pok,,,64758,wāse,,Schlamm,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2120,ags. afries.,conflict
666,,,33330,pok,,,14104,dūst,,Staub,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,415,ags. afries. ,conflict
1754,,,54449,pok,,,35239,lōg,,Platz,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1128,ags. afries. ,conflict
1754,,,54450,pok,,,35240,lōgian ,,"disponere, anordnen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1128,ags. afries. ,conflict
1892,,,57006,pok,,,37796,mann ,,Mann,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1220,ags. afries. ahd. ,conflict
1023,,,42010,pok,,,22784,gold,,Gold,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,636,ags. afries. as. ahd. ,conflict
1103,,,43679,pok,,,24453,grimm,,"wild, grausam",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,694,ags. afries. as. ahd. ,conflict
1636,,,52657,pok,,,33447,hwit,,weiß,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1064,ags. afries. asächs.,conflict
335,,,25733,pok,,,6511,beran,,"tragen, hervorbringen, gebären",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,228,ags. ahd.,conflict
1035,,,42570,pok,,,23344,gang,,Gang,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,650,ags. ahd.,conflict
1892,,,57009,pok,,,37799,mennisc,,menschlich,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1220,ags. ahd.,conflict
2967,,,76839,pok,,,57629,stīgan,,steigen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1880,ags. ahd.,conflict
2998,,,77536,pok,,,58326,stelan,,stehlen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1891,ags. ahd.,conflict
3484,,,86255,pok,,,67040,wist,,Speise,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2185,ags. ahd.,conflict
901,,,38397,pok,,,19171,klimban,,"klimmen, klettern",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,554,ags. ahd. ,conflict
2420,,,66272,pok,,,47062,fūl,,faul,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1562,ags. ahd. ,conflict
3018,,,78167,pok,,,58957,swīn,,Schwein,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1911,ags. ahd. ,conflict
3355,,,83624,pok,,,64409,wīgan ,,"kämpfen, streiten",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2113,ags. ahd. ,conflict
3481,,,86216,pok,,,67001,wist,,"Wesen, Aufenthalt, Dasein",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2184,ags. ahd. ,conflict
2639,,,69851,pok,,,50641,singan,,singen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1687,ags. ahd. as.,conflict
2639,,,69852,pok,,,50642,singen,,singen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1687,ags. ahd. as.,conflict
2639,,,69855,pok,,,50645,sang,,"Gesang, Lied",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1687,ags. ahd. as.,conflict
511,,,29308,pok,,,10082,lang,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,332,ags. ahd. nhd. ,conflict
3356,,,19360,pok,,,138,til,,bis,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,7,ags. aisl.,conflict
1578,,,52147,pok,,,32937,hrīm,,Reif,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1023,ags. aisl.,conflict
2016,,,59226,pok,,,40016,morð,,Mord,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1294,ags. aisl.,conflict
2101,,,60644,pok,,,41434,net,,Netz,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1356,ags. aisl.,conflict
2608,,,69370,pok,,,50160,syll,,"Grundbalken, Schwelle",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1671,ags. aisl.,conflict
1763,,,54680,pok,,,35470,slīm,,Schleim,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1134,ags. aisl. nfries. mnd. ahd. mhd.,conflict
147,,,22173,pok,,,2951,erian,,"pflügen, ackern",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,108,ags. as.,conflict
493,,,28699,pok,,,9473,tīr ,,"Ehre, Ruhm",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,321,ags. as.,conflict
526,,,29783,pok,,,10557,torn,,"Zorn, Streit, heftiger Unwille",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,343,ags. as.,conflict
1096,,,43598,pok,,,24372,grīma,,grīma,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,691,ags. as.,conflict
1098,,,43623,pok,,,24397,grīpan,,"greifen, ergreifen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,692,ags. as.,conflict
1106,,,43716,pok,,,24490,grund,,"Grund, Boden",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,695,ags. as.,conflict
1508,,,51112,pok,,,31902,hladan,,"aufschichten, laden",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,967,ags. as.,conflict
1542,,,51530,pok,,,32320,hlūd,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,980,ags. as.,conflict
1718,,,53699,pok,,,34489,hwī,,"wie, wozu, warum",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1098,ags. as.,conflict
1757,,,54582,pok,,,35372,lēf,,schwach,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1133,ags. as.,conflict
3018,,,78083,pok,,,58873,strang,,"heftig, stark, streng, hart",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1907,ags. as.,conflict
3051,,,78621,pok,,,59411,sweltan,,sterben,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1927,ags. as.,conflict
3064,,,78835,pok,,,59625,swerian,,"anworten, Bürgschaft leisten",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1940,ags. as.,conflict
3274,,,82097,pok,,,62882,or-,,"aus, von",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2064,ags. as.,conflict
3515,,,86846,pok,,,67631,wreðian ,,stützen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2221,ags. as.,conflict
719,,,34687,pok,,,15461,wīd,,weit,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,451,ags. as. ,conflict
801,,,36587,pok,,,17361,rīsan,,sich erheben,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,497,ags. as. ,conflict
840,,,37343,pok,,,18117,edwīt,,"Schmach, Schimpf",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,523,ags. as. ,conflict
840,,,37347,pok,,,18121,ed-,,wieder,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,523,ags. as. ,conflict
1258,,,46372,pok,,,27146,git,,ihr,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,797,ags. as. ,conflict
1467,,,50227,pok,,,31001,hrōr,,"rührig, stark",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,937,ags. as. ,conflict
1872,,,56722,pok,,,37512,mōs,,"Brei, Speise",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1204,ags. as. ,conflict
2272,,,63153,pok,,,43943,full,,voll,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1466,ags. as. ,conflict
2529,,,67853,pok,,,48643,rocc,,Rock,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1635,ags. as. ,conflict
2672,,,70538,pok,,,51328,scima,,Schatten,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1713,ags. as. ,conflict
2731,,,71840,pok,,,52630,hrissan,,"sich schütteln, zittern",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1736,ags. as. ,conflict
2758,,,72918,pok,,,53708,hord,,"Schatz, Hort",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1747,ags. as. ,conflict
3380,,,84315,pok,,,65100,wlōh,,"Faser, Franse, Flocke",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2129,ags. as. ,conflict
3426,,,85283,pok,,,66068,wrengan,,"fest zusammendrehen, winden, pressen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2155,ags. as. ,conflict
3508,,,86641,pok,,,67426,wulf,,Wolf,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2207,ags. as. ,conflict
1017,,,41903,pok,,,22677,galan,,"singen; auch incantare, behexen, bezaubern",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,635,ags. as. ahd.,conflict
1103,,,43670,pok,,,24444,gram,,"ergrimmt, feindlich",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,694,ags. as. ahd.,conflict
2294,,,63775,pok,,,44565,findan,,"finden, erfahren, erfinden",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1482,ags. as. ahd.,conflict
2654,,,70243,pok,,,51033,sūgan,,saugen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1701,ags. as. ahd.,conflict
2727,,,71753,pok,,,52543,hring,,Ring,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1736,ags. as. ahd. ,conflict
2913,,,75642,pok,,,56432,springan,,"springen, hervorbrechen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1847,ags. as. ahd. ,conflict
2916,,,75718,pok,,,56508,spīwan,,speien,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1851,ags. as. ahd. ,conflict
3481,,,86210,pok,,,66995,wesan,,"sein, bleiben",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2184,ags. as. ahd. ,conflict
729,,,34996,pok,,,15770,îs,,Eis,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,451,ags. as. ahd. mhd. ,conflict
1394,,,48525,pok,,,29299,hold,,"geneigten Sinnes, gnädig",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,887,ags. as. ahd. nhd.,conflict
1556,,,51760,pok,,,32550,hindan,,hinten,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,986,ags. asächs. ,conflict
1720,,,54056,pok,,,34846,lagu,,See,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1116,ags. asächs. ,conflict
1464,,,50057,pok,,,30831,horsc,,klug (?),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,931,ags. asächs. ahd.,conflict
1577,,,52144,pok,,,32934,hrīnan,,"berühren, streifen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1023,ags. asächs. ahd.,conflict
1694,,,53257,pok,,,34047,hwer-gin,,irgendwo,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1092,ags. asächs. ahd. ,conflict
