lang,lex_ref_link_id,reflex,reflex_normalized,lemma_id,lemma,lemma_normalized
"ON","6200","ryðja","ryðja","20726","ryðja","ryðja"
"ON","6216","rýja","rýja","20740","rýja","rýja"
"ON","6232","reyfa","reyfa","20422","reyfa","reyfa"
"ON","6233","rjúfa","rjúfa","20574","rjúfa","rjúfa"
"ON","6235","rauf","rauf","20060","rauf","rauf"
"ON","6235","rauf","rauf","20061","rauf","rauf"
"ON","6488","segja","segja","21356","segja","segja"
"ON","6664","súga","súga","24647","súga","súga"
"ON","6802","skíta","skíta","22471","skíta","skíta"
"ON","6916","skera","skera","22239","skera","skera"
"ON","6925","skar","skar","22035","skar","skar"
"ON","6926","skar","skar","22035","skar","skar"
"ON","6927","skreppa","skreppa","22688","skreppa","skreppa"
"ON","6927","skreppa","skreppa","22689","skreppa","skreppa"
"ON","6980","skjóta","skjóta","22508","skjóta","skjóta"
"ON","6983","skeyta","skeyta","22253","skeyta","skeyta"
"ON","7016","hrøkkva","hrøkkva","12732","hrøkkva","hrøkkva"
"ON","7016","hrøkkva","hrøkkva","12733","hrøkkva","hrøkkva"
"ON","7023","skynda","skynda","22872","skynda","skynda"
"ON","7061","slyngva","slyngva","23089","slyngva","slyngva"
"ON","7065","sløngva","sløngva","23121","sløngva","sløngva"
"ON","7065","sløngva","sløngva","23122","sløngva","sløngva"
"ON","7127","smeygja","smeygja","23216","smeygja","smeygja"
"ON","7185","snúa","snúa","23392","snúa","snúa"
"ON","7240","spenna","spenna","23687","spenna","spenna"
"ON","7240","spenna","spenna","23688","spenna","spenna"
"ON","7282","spretta","spretta","23761","spretta","spretta"
"ON","7282","spretta","spretta","23762","spretta","spretta"
"ON","7288","springa","springa","23763","springa","springa"
"ON","7295","sprengja","sprengja","23759","sprengja","sprengja"
"ON","7334","sperra","sperra","23691","sperra","sperra"
"ON","7385","þekja","þekja","26326","þekja","þekja"
"ON","7385","þekja","þekja","26327","þekja","þekja"
"ON","7386","stinga","stinga","24070","stinga","stinga"
"ON","7455","steikja","steikja","23980","steikja","steikja"
"ON","7633","strjúka","strjúka","24375","strjúka","strjúka"
"ON","7675","svina","svina","24924","svína","svína"
"ON","7687","svella","svella","24824","svella","svella"
"ON","7690","svella","svella","24824","svella","svella"
"ON","7694","svelta","svelta","24826","svelta","svelta"
"ON","7694","svelta","svelta","24827","svelta","svelta"
"ON","7722","svefja","svefja","24736","svefja","svefja"
"ON","7728","svaf","svaf","24667","svaf","svaf"
"ON","7733","sofna","sofna","23457","sofna","sofna"
"ON","7736","sofa","sofa","23454","sofa","sofa"
"ON","7740","sverja","sverja","24849","sverja","sverja"
"ON","7774","taka","taka","25246","taka","taka"
"ON","7774","taka","taka","25247","taka","taka"
"ON","7793","þiggja","þiggja","26377","þiggja","þiggja"
"ON","7795","þá","þá","26287","þá","þá"
"ON","7795","þá","þá","26288","þá","þá"
"ON","7795","þá","þá","26289","þá","þá"
"ON","7940","þekkja","þekkja","26330","þekkja","þekkja"
"ON","8071","þerra","þerra","26351","þerra","þerra"
"ON","8071","þerra","þerra","26352","þerra","þerra"
"ON","8272","þreyta","þreyta","26688","þreyta","þreyta"
"ON","8325","þyrja","þyrja","27033","þyrja","þyrja"
"ON","8356","vefja","vefja","29291","vefja","vefja"
"ON","8398","vega","vega","29296","vega","vega"
"ON","8420","vá","vá","29083","vá","vá"
"ON","8420","vá","vá","29084","vá","vá"
"ON","8420","vá","vá","29085","vá","vá"
"ON","8420","vá","vá","29086","vá","vá"
"ON","8434","vaða","vaða","28638","vaða","vaða"
"ON","8436","óð","óð","19298","óð","óð"
"ON","8555","vega","vega","29296","vega","vega"
"ON","8559","vá","vá","29083","vá","vá"
"ON","8559","vá","vá","29084","vá","vá"
"ON","8559","vá","vá","29085","vá","vá"
"ON","8559","vá","vá","29086","vá","vá"
"ON","8571","veifa","veifa","29364","veifa","veifa"
"ON","8655","velta","velta","29459","velta","velta"
"ON","8655","velta","velta","29460","velta","velta"
"ON","8658","vall","vall","19063","vall","vall"
"ON","8732","venja","venja","29468","venja","venja"
"ON","8732","venja","venja","29469","venja","venja"
"ON","8733","una","una","27200","una","una"
"ON","9015","bók","bók","3797","bók","bók"
"ON","9015","bók","bók","4797","bök","bök"
"ON","9016","bœkr","bœkr","4765","bœkr","bœkr"
"ON","9035","bœki-skógr","bœkiskógr","4763","bœkiskógr","bœkiskógr"
"ON","9039","barð","barð","2729","barð","barð"
"ON","9126","beit","beit","2966","beit","beit"
"ON","9126","beit","beit","2967","beit","beit"
"ON","9126","beit","beit","2968","beit","beit"
"ON","9126","beit","beit","2969","beit","beit"
"ON","9129","beit","beit","2966","beit","beit"
"ON","9129","beit","beit","2967","beit","beit"
"ON","9129","beit","beit","2968","beit","beit"
"ON","9129","beit","beit","2969","beit","beit"
"ON","9133","bitr ","bitr ","3228","bitr","bitr"
"ON","9147","bið","bið","3114","bið","bið"
"ON","9170","bingr","bingr","3155","bingr","bingr"
"ON","9311","barar ","barar ","2721","barar","barar"
"ON","9316","barmr","barmr","2760","barmr","barmr"
"ON","9330","bærr","bærr","4747","bærr","bærr"
"ON","9387","barn","barn","2762","barn","barn"
"ON","9391","borg","borg","3758","borg","borg"
"ON","9400","berg","berg","3042","berg","berg"
"ON","9401","bjarg","bjarg","3243","bjarg","bjarg"
"ON","9466","ber","ber","3032","ber","ber"
"ON","9470","bast","bast","2827","bast","bast"
"ON","9542","bróðir","bróðir","4255","bróðir","bróðir"
"ON","9544","brœðr","brœðr","4422","brœðr","brœðr"
"ON","9614","brýnn","brýnn","4414","brýnn","brýnn"
"ON","9614","brýnn","brýnn","4415","brýnn","brýnn"
"ON","9684","búi","búi","4569","búi","búi"
"ON","9711","búð","búð","4517","búð","búð"
"ON","9711","búð","búð","4518","búð","búð"
"ON","9753","bú","bú","4506","bú","bú"
"ON","9769","búr","búr","4600","búr","búr"
"ON","9819","ból","ból","3840","ból","ból"
"ON","9819","ból","ból","4798","böl","böl"
"ON","9836","býr","býr","4727","býr","býr"
"ON","9838","bœr","bœr","4787","bœr","bœr"
"ON","9899","feitr","feitr","7345","feitr","feitr"
"ON","10310","Týr","Týr","26131","Týr","Týr"
"ON","10315","týsdagr","týsdagr","26132","týsdagr","týsdagr"
"ON","10380","tá","tá","25306","tá","tá"
"ON","10380","tá","tá","25307","tá","tá"
"ON","10387","tǫng","tǫng","26174","töng","töng"
"ON","10498","gumi","gumi","10328","gumi","gumi"
"ON","10616","oddr","oddr","18894","oddr","oddr"
"ON","10630","stóð","stóð","24135","stoð","stoð"
"ON","10630","stóð","stóð","24165","stóð","stóð"
"ON","10630","stóð","stóð","24166","stóð","stóð"
"ON","10630","stóð","stóð","24487","stöð","stöð"
"ON","10688","dáð","dáð","4984","dáð","dáð"
"ON","10725","des","des","5059","des","des"
"ON","10740","dómr","dómr","5192","dómr","dómr"
"ON","10847","deig","deig","5034","deig","deig"
"ON","10852","digr","digr","5075","digr","digr"
"ON","10906","djúpr","djúpr","5135","djúpr","djúpr"
"ON","10935","dýpt","dýpt","5618","dýpt","dýpt"
"ON","10991","dóttir","dóttir","5208","dóttir","dóttir"
"ON","11059","dýrr","dýrr","5609","dyrr","dyrr"
"ON","11059","dýrr","dýrr","5661","dýrr","dýrr"
"ON","11073","and-dyri","anddyri","1040","anddyri","anddyri"
"ON","11213","kind","kind","14399","kind","kind"
"ON","11243","konr","konr","14788","konr","konr"
"ON","11246","kyn","kyn","15350","kyn","kyn"
"ON","11246","kyn","kyn","15351","kyn","kyn"
"ON","11253","samkynja","samkynja","20989","samkynja","samkynja"
"ON","11415","kunnr","kunnr","15100","kunnr","kunnr"
"ON","11442","kœnn","kœnn","15455","kœnn","kœnn"
"ON","11577","gestr","gestr","9406","gestr","gestr"
"ON","11685","kona","kona","14786","kona","kona"
"ON","11686","kvinna","kvinna","15301","kvinna","kvinna"
"ON","11737","kvǣn","kvǣn","15336","kvæn","kvæn"
"ON","11738","kván","kván","15146","kván","kván"
"ON","11755","kviðr","kviðr","15278","kviðr","kviðr"
"ON","11755","kviðr","kviðr","15279","kviðr","kviðr"
"ON","11870","kýr","kýr","15432","kýr","kýr"
"ON","12010","apr","apr","1203","apr","apr"
"ON","12061","jǫtunn","jǫtunn","14073","jötunn","jötunn"
"ON","12145","tǫnn","tǫnn","25761","tónn","tónn"
"ON","12145","tǫnn","tǫnn","26175","tönn","tönn"
"ON","12146","teðr","teðr","25267","teðr","teðr"
"ON","12146","teðr","teðr","25347","téðr","téðr"
"ON","12159","át","át","1375","at","at"
"ON","12159","át","át","1376","at","at"
"ON","12159","át","át","1377","at","at"
"ON","12159","át","át","1378","at","at"
"ON","12159","át","át","1379","at","at"
"ON","12159","át","át","1380","at","at"
"ON","12159","át","át","2368","át","át"
"ON","12159","át","át","2369","át","át"
"ON","12165","áta","áta","1381","ata","ata"
"ON","12165","áta","áta","2370","áta","áta"
"ON","12184","ætr","ætr","2525","ætr","ætr"
"ON","12213","tindr","tindr","25542","tindr","tindr"
"ON","12251","ið","ið","13712","íð","íð"
"ON","12350","víðr","víðr","29777","viðr","viðr"
"ON","12350","víðr","víðr","29778","viðr","viðr"
"ON","12350","víðr","víðr","29779","viðr","viðr"
"ON","12350","víðr","víðr","30196","víðr","víðr"
"ON","12357","eiðr","eiðr","5824","eiðr","eiðr"
"ON","12362","eið","eið","5808","eið","eið"
"ON","12409","jór","jór","14037","jór","jór"
"ON","12474","sannr","sannr","21140","sannr","sannr"
"ON","12474","sannr","sannr","21141","sannr","sannr"
"ON","12475","saðr","saðr","20808","saðr","saðr"
"ON","12475","saðr","saðr","20809","saðr","saðr"
"ON","12500","syn","syn","24971","syn","syn"
"ON","12500","syn","syn","25018","sýn","sýn"
"ON","12554","sykn","sykn","24963","sykn","sykn"
"ON","12554","sykn","sykn","24964","sykn","sykn"
"ON","12554","sykn","sykn","25016","sýkn","sýkn"
"ON","12596","end-langr ","endlangr ","6407","endlangr","endlangr"
"ON","12659","ars","ars","1360","ars","ars"
"ON","12684","vanr","vanr","28880","vanr","vanr"
"ON","12684","vanr","vanr","28881","vanr","vanr"
"ON","12782","ár","ár","2124","ár","ár"
"ON","12782","ár","ár","2125","ár","ár"
"ON","12782","ár","ár","2126","ár","ár"
"ON","12782","ár","ár","2127","ár","ár"
"ON","12782","ár","ár","2128","ár","ár"
"ON","12813","ǫxl","ǫxl","19727","öxl","öxl"
"ON","12817","ǫxull","ǫxull","19729","öxull","öxull"
"ON","12824","óstr","óstr","19222","ostr","ostr"
"ON","12824","óstr","óstr","19399","óstr","óstr"
"ON","12825","óst","óst","19398","óst","óst"
"ON","12856","epli","epli","6511","epli","epli"
"ON","12859","apal-grár","apalgrár","1198","apalgrár","apalgrár"
"ON","12879","apaldr","apaldr","1193","apaldr","apaldr"
"ON","12964","akr","akr","331","akr","akr"
"ON","13035","æ","æ","2487","æ","æ"
"ON","13035","æ","æ","2488","æ","æ"
"ON","13036","ey","ey","6708","ey","ey"
"ON","13036","ey","ey","6709","ey","ey"
"ON","13049","á","á","1","a","a"
"ON","13049","á","á","1802","á","á"
"ON","13049","á","á","1803","á","á"
"ON","13049","á","á","1804","á","á"
"ON","13049","á","á","1805","á","á"
"ON","13050","lang-ǽr","langǽr","15738","langær","langær"
"ON","13091","ungr","ungr","27296","ungr","ungr"
"ON","13205","ax","ax","1792","ax","ax"
"ON","13231","egg","egg","5784","egg","egg"
"ON","13231","egg","egg","5785","egg","egg"
"ON","13247","soð-áll","soðáll","23446","soðáll","soðáll"
"ON","13271","ǫgn","ǫgn","19332","ógn","ógn"
"ON","13271","ǫgn","ǫgn","19333","ógn","ógn"
"ON","13271","ǫgn","ǫgn","19468","ögn","ögn"
"ON","13271","ǫgn","ǫgn","19469","ögn","ögn"
"ON","13317","ǫngr","ǫngr","19568","öngr","öngr"
"ON","13327","angr","angr","1136","angr","angr"
"ON","13327","angr","angr","1137","angr","angr"
"ON","13387","ǫnd","ǫnd","19546","önd","önd"
"ON","13387","ǫnd","ǫnd","19547","önd","önd"
"ON","13387","ǫnd","ǫnd","19548","önd","önd"
"ON","13401","ǫnd","ǫnd","19546","önd","önd"
"ON","13401","ǫnd","ǫnd","19547","önd","önd"
"ON","13401","ǫnd","ǫnd","19548","önd","önd"
"ON","13419","and-lát","andlát","1050","andlát","andlát"
"ON","13420","andi","andi","1048","andi","andi"
"ON","13424","ǫnn","ǫnn","19577","önn","önn"
"ON","13424","ǫnn","ǫnn","19578","önn","önn"
"ON","13587","ǫrð","ǫrð","19088","orð","orð"
"ON","13587","ǫrð","ǫrð","19586","örð","örð"
"ON","13622","arðr ","arðr ","1269","arðr","arðr"
"ON","13656","auki","auki","1695","auki","auki"
"ON","13795","ær","ær","2505","ær","ær"
"ON","13874","eyra","eyra","6781","eyra","eyra"
"ON","13959","stjarna","stjarna","24094","stjarna","stjarna"
"ON","14003","vǫxtr","vǫxtr","30509","vöxtr","vöxtr"
"ON","14039","vár","vár","6360","var","var"
"ON","14039","vár","vár","29184","vár","vár"
"ON","14039","vár","vár","29185","Vár","Vár"
"ON","14142","austr","austr","1758","austr","austr"
"ON","14142","austr","austr","1759","austr","austr"
"ON","14186","oxi","oxi","19231","oxi","oxi"
"ON","14187","yxn","yxn","30646","yxn","yxn"
"ON","14188","øxn","øxn","19728","øxn","øxn"
"ON","14189","yxna","yxna","30647","yxna","yxna"
"ON","14277","auga","auga","1647","auga","auga"
"ON","14338","ná","ná","18431","ná","ná"
"ON","14417","nafli","nafli","18324","nafli","nafli"
"ON","14429","nǫf","nǫf","18874","nöf","nöf"
"ON","14451","óss","óss","19397","óss","óss"
"ON","14627","eykr","eykr","6765","eykr","eykr"
"ON","14645","eykt","eykt","6767","eykt","eykt"
"ON","14680","ostr","ostr","19222","ostr","ostr"
"ON","14680","ostr","ostr","19399","óstr","óstr"
"ON","14706","heri","heri","11541","heri","heri"
"ON","14717","hǫss","hǫss","13500","höss","höss"
"ON","14736","hein","hein","11339","hein","hein"
"ON","14766","háll","háll","11005","háll","háll"
"ON","14785","héla","héla","11394","héla","héla"
"ON","14785","héla","héla","11395","héla","héla"
"ON","14819","hjarta","hjarta","11849","hjarta","hjarta"
"ON","14929","hljómr","hljómr","12073","hljómr","hljómr"
"ON","14963","hljóðr","hljóðr","12065","hljóðr","hljóðr"
"ON","14964","hljóð","hljóð","12043","hljóð","hljóð"
"ON","15000","hlust","hlust","12089","hlust","hlust"
"ON","15007","hler","hler","12001","hler","hler"
"ON","15007","hler","hler","12002","Hlér","Hlér"
"ON","15015","hlýr","hlýr","12128","hlýr","hlýr"
"ON","15112","hundr","hundr","12894","hundr","hundr"
"ON","15142","herr","herr","11594","herr","herr"
"ON","15191","hrár","hrár","12433","hrár","hrár"
"ON","15218","hodd","hodd","12218","hodd","hodd"
"ON","15267","leiga","leiga","16016","leiga","leiga"
"ON","15267","leiga","leiga","16017","leiga","leiga"
"ON","15298","líf","líf","16336","líf","líf"
"ON","15311","lifr","lifr","16263","lifr","lifr"
"ON","15420","móðerni","móðerni","18024","móðerni","móðerni"
"ON","15463","matr","matr","17244","matr","matr"
"ON","15503","miðr","miðr","17691","miðr","miðr"
"ON","15503","miðr","miðr","17692","miðr","miðr"
"ON","15515","mjǫðm","mjǫðm","17950","mjöðm","mjöðm"
"ON","15535","mjǫðr","mjǫðr","17951","mjöðr","mjöðr"
"ON","15574","mjǫk","mjǫk","17953","mjök","mjök"
"ON","15594","mikill","mikill","17714","mikill","mikill"
"ON","15680","magr","magr","16901","magr","magr"
"ON","15680","magr","magr","17264","mágr","mágr"
"ON","15751","malt","malt","16919","malt","malt"
"ON","15762","mildr ","mildr ","17752","mildr","mildr"
"ON","15848","mara","mara","17128","mara","mara"
"ON","15848","mara","mara","17129","mara","mara"
"ON","15853","morð","morð","17987","morð","morð"
"ON","15924","meiss","meiss","17533","meiss","meiss"
"ON","15989","niflvegr ","niflvegr ","18647","niflvegr","niflvegr"
"ON","16058","nátt","nátt","18481","nátt","nátt"
"ON","16059","nótt","nótt","18757","nótt","nótt"
"ON","16083","ótta","ótta","19402","ótta","ótta"
"ON","16154","naust","naust","18407","naust","naust"
"ON","16175","nykr","nykr","18767","nykr","nykr"
"ON","16228","nipt","nipt","18649","nipt","nipt"
"ON","16268","nýr","nýr","18807","nýr","nýr"
"ON","16305","fót","fót","9061","föt","föt"
"ON","16372","fit","fit","7641","fit","fit"
"ON","16405","fet","fet","7534","fet","fet"
"ON","16418","topt","topt","25663","topt","topt"
"ON","16434","fat","fat","7124","fat","fat"
"ON","16434","fat","fat","7125","fat","fat"
"ON","16449","fit","fit","7641","fit","fit"
"ON","16470","fetill","fetill","7538","fetill","fetill"
"ON","16480","fjǫturr","fjǫturr","7880","fjöturr","fjöturr"
"ON","16519","fúrr","fúrr","8868","fúrr","fúrr"
"ON","16523","funi","funi","8841","funi","funi"
"ON","16552","feikn","feikn","7335","feikn","feikn"
"ON","16552","feikn","feikn","7336","feikn","feikn"
"ON","16711","faðir","faðir","6818","faðir","faðir"
"ON","16779","faðerni","faðerni","6817","faðerni","faðerni"
"ON","16784","feðgar","feðgar","7282","feðgar","feðgar"
"ON","16827","flórr","flórr","8012","flórr","flórr"
"ON","16869","fold","fold","8088","fold","fold"
"ON","16912","friðr","friðr","8607","friðr","friðr"
"ON","16912","friðr","friðr","8627","fríðr","fríðr"
"ON","16936","frjáls","frjáls","8641","frjáls","frjáls"
"ON","16941","Frigg","Frigg","8621","Frigg","Frigg"
"ON","16955","fríðr","fríðr","8607","friðr","friðr"
"ON","16955","fríðr","fríðr","8627","fríðr","fríðr"
"ON","16963","frændi","frændi","8731","frændi","frændi"
"ON","17064","rǫðull","rǫðull","20777","röðull","röðull"
"ON","17088","roði","roði","20583","roði","roði"
"ON","17088","roði","roði","20613","róði","róði"
"ON","17108","sólar-roð","sólarroð","23532","sólarroð","sólarroð"
"ON","17114","ryð ","ryð ","20031","rýð","rýð"
"ON","17114","ryð ","ryð ","20721","ryð","ryð"
"ON","17115","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17116","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17117","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17118","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17119","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17120","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17121","ryðr ","ryðr ","20728","ryðr","ryðr"
"ON","17125","rjóðr","rjóðr","20572","rjóðr","rjóðr"
"ON","17125","rjóðr","rjóðr","20573","rjóðr","rjóðr"
"ON","17135","rauðr","rauðr","20059","rauðr","rauðr"
"ON","17169","rauði","rauði","20050","rauði","rauði"
"ON","17179","roðra","roðra","20615","róðra","róðra"
"ON","17196","orri","orri","19209","orri","orri"
"ON","17235","saltr","saltr","20885","saltr","saltr"
"ON","17278","salt","salt","20876","salt","salt"
"ON","17289","sát","sát","21162","sat","sat"
"ON","17289","sát","sát","21308","sát","sát"
"ON","17347","sætr","sætr","25095","sætr","sætr"
"ON","17348","dómsætr","dómsætr","5205","dómsætr","dómsætr"
"ON","17367","setr","setr","21500","setr","setr"
"ON","17372","set","set","21488","set","set"
"ON","17383","sót","sót","23576","sót","sót"
"ON","17409","sess","sess","21483","sess","sess"
"ON","17450","sigr","sigr","21582","sigr","sigr"
"ON","17537","sól","sól","23517","sól","sól"
"ON","17537","sól","sól","25195","söl","söl"
"ON","17571","suð-","suð","24645","súð","súð"
"ON","17579","suðr","suðr","24509","suðr","suðr"
"ON","17579","suðr","suðr","24510","suðr","suðr"
"ON","17589","sunna","sunna","24626","sunna","sunna"
"ON","17636","sindr","sindr","21672","sindr","sindr"
"ON","17730","skǫf","skǫf","22596","skóf","skóf"
"ON","17742","smjǫr","smjǫr","23240","smjör","smjör"
"ON","17747","smurn-ing","smurning","23253","smurning","smurning"
"ON","17801","snør","snør","23441","snør","snør"
"ON","17816","skarn","skarn","22051","skarn","skarn"
"ON","17925","straumr","straumr","24337","straumr","straumr"
"ON","17966","þjǫkkr","þjǫkkr","26462","þjokkr","þjokkr"
"ON","17967","þykkr","þykkr","27009","þykkr","þykkr"
"ON","17967","þykkr","þykkr","27010","þykkr","þykkr"
"ON","17981","þak","þak","26202","þak","þak"
"ON","17994","stóð","stóð","24135","stoð","stoð"
"ON","17994","stóð","stóð","24165","stóð","stóð"
"ON","17994","stóð","stóð","24166","stóð","stóð"
"ON","17994","stóð","stóð","24487","stöð","stöð"
"ON","18048","fastr","fastr","7113","fastr","fastr"
"ON","18057","tvistr ","tvistr ","26029","tvistr","tvistr"
"ON","18075","frest","frest","8543","frest","frest"
"ON","18098","staurr","staurr","23922","staurr","staurr"
"ON","18138","eldstó","eldstó","6267","eldstó","eldstó"
"ON","18151","stafn","stafn","23845","stafn","stafn"
"ON","18183","staðr","staðr","23824","staðr","staðr"
"ON","18183","staðr","staðr","23825","staðr","staðr"
"ON","18234","stórr","stórr","24273","stórr","stórr"
"ON","18240","stóll","stóll","24173","stóll","stóll"
"ON","18240","stóll","stóll","24174","stóll","stóll"
"ON","18240","stóll","stóll","24175","stóll","stóll"
"ON","18249","staðr ","staðr ","23824","staðr","staðr"
"ON","18249","staðr ","staðr ","23825","staðr","staðr"
"ON","18256","staðr","staðr","23824","staðr","staðr"
"ON","18256","staðr","staðr","23825","staðr","staðr"
"ON","18267","stǫð","stǫð","24135","stoð","stoð"
"ON","18267","stǫð","stǫð","24165","stóð","stóð"
