index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,Panditur,verb,pando,Pandi,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['pan', 'di', 'tur']",[pan̪d̪ɪt̪ʊr],10,\N,1
1,0,interea,particle,interea,intere,discourse,0,\N,{F: [pos]},"['in', 'te', 're', 'a']",[ɪn̪t̪ɛrɛ̣ja],10,\N,1
2,0,domus,noun,domus,dom,nsubj:pass,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['do', 'mus']",[d̪ɔmʊs],10,\N,1
3,0,omnipotentis,adjective,omnipotens,omnipotent,amod,4,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['om', 'ni', 'po', 'ten', 'tis']",[ɔmn̪ɪpɔt̪ɛn̪t̪ɪs],10,\N,1
4,0,Olympi,noun,olympum,Olymp,nmod,2,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['o', 'lym', 'pi']",[ɔlympɪ],10,\N,1
5,0,",",punctuation,",",",",punct,7,\N,\N,"[',']",\N,10,\N,1
6,0,conciliumque,noun,conciliumque,concili,obj,7,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['con', 'ci', 'li', 'um', 'que']",[kɔŋkɪlɪ̣jʊmkʷɛ],10,\N,2
7,0,vocat,verb,voco,voca,conj,0,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['vo', 'cat']",[wɔkat̪],10,\N,2
8,0,divom,noun,divus,divo,nsubj,7,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['di', 'vom']",[d̪ɪwɔ̃ː],10,\N,2
9,0,pater,noun,pater,pate,flat,8,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pa', 'ter']",[pat̪ɛr],10,\N,2
